name
Quinton Aaron
Ira Aldridge
Flex Alexander
Khandi Alexander
Ajiona Alexus
Mahershala Ali
Debbie Allen
John Amos
Anthony Anderson
Eddie Anderson
Maya Angelou
Tichina Arnold
Essence Atkins
Sharif Atkins
Patti Austin
James Avery
Margaret Avery
Rochelle Aytes
Anita Baker
Michael Boatman
Beyoncé
Leslie David Baker
Tyra Banks
Spencer Bell
B.G.
Peabo Bryson
Louise Beavers
Birdman
Everett Brown
Jim Brown
Malcolm Barrett
Philip Bailey
Toni Braxton
James Baskett
Roscoe Lee Browne
Avery Brooks
LeVar Burton
Tony Burton
Fantasia Barrino
Angela Bassett
Troian Bellisario
Steelo Brim
Lloyd Banks
George Benson
Michael Beach
Richard Brooks
Jennifer Beals
Darryl M. Bell
Paul Benjamin
Wayne Brady
Todd Bridges
Fred Berry
Halle Berry
Lisa Bonet
Stephen Bishop
Billy Blanks
Golden Brooks
Busta Rhymes
De'Aundre Bonds
Joy Bryant
Chadwick Boseman
Sterling K. Brown
Mehcad Brooks
Neil Brown Jr.
Logan Browning
Trai Byers
Danielle Brooks
Cocoa Brown
Rob Brown
Zazie Beetz
Rhyon Nicole Brown
Jurnee Smollett-Bell
Big Daddy Kane
Yvette Nicole Brown
Big Gipp
Roger Aaron Brown
Hannibal Buress
BabyFace
Sharon Bryant
Bone Crusher
50 Cent
Judy Cheeks
Nick Cannon
CL Smooth
Nell Carter
Bill Cobbs
Bill Cosby
Common
Deon Cole
Natalie Cole
Nat King Cole
Olivia Cole
Chad L. Coleman
Gary Coleman
Monique Coleman
Mike Colter
Sean Combs
Alvin Childress
L. Scott Caldwell
Cab Calloway
Vanessa Bell Calloway
Scatman Crothers
Rupert Crosse
Mariah Carey
Diahann Carroll
Rocky Carroll
Bernie Casey
Rosalind Cash
Reg E. Cathey
Ray Charles
Dave Chappelle
Don Cheadle
Laverne Cox
Tony Cox
Rusty Cundieff
Mark Curry
Lavell Crawford
Terry Crews
Chi-Ali
Kim Coles
Ice Cube
Morris Chestnut
Chingy
Frances Callier
Zendaya Coleman
Deezer D
Dr. Dre
Jude Demorest
Dres
DJ Yella
Ava DuVernay
Danny Boy
Darryl McDaniels
DJ Lethal
DJ Kay Gee
Teala Dunn
Yaya DaCosta
Daveed Diggs
Da'Vinchi
Charles Michael Davis
Taye Diggs
Hugh Dane
Tommy Davidson
Keith David
Stacey Dash
Doug E. Fresh
Viola Davis
D-Nice
LaVan Davis
Cassi Davis
Johnny Depp
Gary Dourdan
Michael Dorn
Omar Dorsey
Nate Dogg
Snoop Dogg
Michael Clarke Duncan
Suzzanne Douglas
Denise Dowse
Ja'Net DuBois
Charles S. Dutton
Loretta Devine
Ivan Dixon
Ruby Dee
Ossie Davis
Sammy Davis Jr.
Michael Ealy
Nelsan Ellis
Cedric the Entertainer
Mike Epps
Omar Epps
E-40
Art Evans
Eric B.
Damon Evans
El-P
Mike Evans
David Fagen
Dave Fennoy
Jessie Lawrence Ferguson
Edwina Findley
Laurence Fishburne
Freddie Foxxx
Thomas Mikal Ford
Fat Joe
Ken Foree
Jamie Foxx
Jaimee Foxworth
Redd Foxx
Roberta Flack
Al Freeman Jr.
Morgan Freeman
Jennifer Freeman
Aretha Franklin
Sheila Frazier
Kim Fields
Vivica A. Fox
Frankie Faison
Larry Graham
Johnny Gill
Roy Glenn
Robert Guillaume
Ron Glass
Grandmaster Flash
Marla Gibbs
Tyrese Gibson
Seth Gilliam
Lawrence Gilliard Jr.
Clarence Gilyard
Robin Givens
Danny Glover
Donald Glover
Cuba Gooding Jr.
Cuba Gooding Sr.
Omar Gooding
Whoopi Goldberg
Grand Puba
Carl Gordon
GZA
Louis Gossett Jr.
Ghostface Killah
Robert Gossett
Kat Graham
Sonequa Martin-Green
David Alan Grier
Pam Grier
Rosey Grier
Teresa Graves
Dick Gregory
Eddie Griffin
Lance Gross
Jasmine Guy
Moses Gunn
Bill Gunn
D'atra Hicks
Taral Hicks
Karim Hill
