name,question,answerA,answerB,answerC
Huey P. Newton,He founded what,Black Panther Party,SNCC,Poor People's Campaign
Kamala Harris,She's a,Politician,Author,Engineer
Elizabeth Thorn Scott Flood,She's a,Educator,Politician,Engineer
